Phylum	No. genomes	Avg. single copy	No. genes >50% single copy	No. genes >=95.0% single copy	PF00410.20	PF00466.21	PF00687.22	PF00827.18	PF00900.21	PF01000.27	PF01015.19	PF01090.20	PF01092.20	PF01157.19	PF01191.20	PF01194.18	PF01198.20	PF01200.19	PF01269.18	PF01280.21	PF01655.19	PF01798.19	PF01866.18	PF01868.17	PF02978.20	PF04919.13	PF07541.13	PF13656.7	TIGR00037	TIGR00064	TIGR00111	TIGR00134	TIGR00264	TIGR00279	TIGR00283	TIGR00291	TIGR00293	TIGR00307	TIGR00308	TIGR00323	TIGR00337	TIGR00389	TIGR00392	TIGR00398	TIGR00405	TIGR00408	TIGR00422	TIGR00425	TIGR00442	TIGR00448	TIGR00456	TIGR00463	TIGR00468	TIGR00471	TIGR00490	TIGR00491	TIGR00501	TIGR00522	TIGR00729	TIGR00982	TIGR01008	TIGR01012	TIGR01018	TIGR01020	TIGR01025	TIGR01028	TIGR01038	TIGR01046	TIGR01052	TIGR01077	TIGR01080	TIGR01309	TIGR02076	TIGR02153	TIGR02236	TIGR02258	TIGR02338	TIGR02390	TIGR02651	TIGR03626	TIGR03665	TIGR03670	TIGR03671	TIGR03674	TIGR03677	TIGR03680
p__Asgardarchaeota	5	93.17	78	66	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	80.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	20.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	80.00	100.00	80.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	40.00	100.00	20.00	20.00	100.00	100.00	100.00	100.00	80.00	100.00	100.00	100.00	100.00	80.00	60.00	100.00	100.00	100.00	100.00	100.00	80.00	80.00	80.00	80.00	80.00	100.00	100.00	100.00	100.00	100.00	80.00	100.00
p__Hadarchaeota	1	96.34	79	79	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Halobacteriota	405	99.10	82	82	99.75	99.26	99.51	98.77	99.75	99.26	100.00	100.00	99.75	98.77	99.26	97.04	99.75	99.26	96.30	99.01	99.51	98.77	99.75	99.26	99.51	99.26	99.26	97.53	100.00	99.75	100.00	99.26	99.51	98.77	98.77	99.51	100.00	99.51	99.26	100.00	99.75	99.26	99.01	99.01	99.51	99.01	99.51	99.51	99.26	100.00	99.26	99.26	99.51	99.26	99.51	100.00	95.06	99.51	99.51	99.26	99.75	99.26	99.51	99.26	99.75	99.26	99.51	99.75	97.04	99.51	99.75	99.75	99.26	99.75	97.28	96.30	99.51	99.26	95.31	99.01	98.77	98.02	99.51	96.79	99.51	99.51
p__Hydrothermarchaeota	2	98.78	80	80	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Iainarchaeota	3	91.87	78	68	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	66.67	100.00	100.00	100.00	100.00	100.00	100.00	66.67	66.67	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	66.67	66.67	100.00	100.00	100.00	100.00	33.33	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	66.67	100.00	100.00	66.67	100.00	33.33	100.00	66.67	100.00	100.00	100.00	100.00	66.67	66.67
p__Methanobacteriota	145	99.03	82	80	99.31	100.00	99.31	99.31	99.31	99.31	99.31	100.00	100.00	100.00	96.55	97.93	100.00	99.31	99.31	99.31	99.31	100.00	100.00	95.17	100.00	93.10	100.00	100.00	99.31	99.31	100.00	100.00	100.00	97.93	100.00	100.00	90.34	100.00	96.55	100.00	98.62	100.00	100.00	100.00	99.31	100.00	98.62	99.31	99.31	100.00	100.00	99.31	100.00	100.00	95.86	100.00	95.17	99.31	100.00	98.62	99.31	100.00	99.31	99.31	100.00	97.93	100.00	97.24	100.00	97.93	99.31	99.31	100.00	99.31	96.55	100.00	100.00	96.55	99.31	100.00	99.31	97.93	100.00	100.00	99.31	100.00
p__Micrarchaeota	9	97.70	82	73	100.00	100.00	100.00	100.00	88.89	100.00	100.00	100.00	100.00	100.00	88.89	100.00	66.67	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	77.78	100.00	100.00	100.00	100.00	100.00	100.00	77.78	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	88.89	100.00	77.78	100.00	100.00	77.78	100.00	100.00	100.00	100.00	100.00	66.67
p__Nanoarchaeota	24	91.31	78	50	100.00	100.00	100.00	95.83	100.00	100.00	95.83	100.00	100.00	100.00	95.83	95.83	95.83	95.83	66.67	100.00	100.00	66.67	29.17	79.17	87.50	100.00	95.83	91.67	100.00	83.33	75.00	100.00	87.50	87.50	91.67	91.67	100.00	100.00	75.00	41.67	66.67	95.83	100.00	91.67	100.00	95.83	95.83	95.83	100.00	95.83	100.00	100.00	91.67	95.83	95.83	95.83	100.00	91.67	100.00	91.67	100.00	100.00	100.00	100.00	100.00	91.67	91.67	91.67	91.67	100.00	100.00	91.67	37.50	95.83	91.67	70.83	100.00	91.67	95.83	91.67	100.00	91.67	100.00	95.83	50.00	91.67
p__Nanohaloarchaeota	6	94.92	78	71	100.00	100.00	100.00	100.00	0.00	100.00	100.00	83.33	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	83.33	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	83.33	100.00	100.00	100.00	100.00	100.00	83.33	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	83.33	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	83.33	100.00	100.00	100.00	100.00	100.00	83.33	100.00
p__PWEA01	1	95.12	78	78	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Thermoplasmatota	53	96.53	82	69	100.00	100.00	100.00	98.11	98.11	98.11	92.45	98.11	98.11	98.11	96.23	96.23	98.11	98.11	96.23	98.11	98.11	96.23	96.23	96.23	98.11	98.11	98.11	96.23	98.11	100.00	98.11	94.34	96.23	98.11	90.57	98.11	96.23	96.23	96.23	98.11	81.13	98.11	96.23	98.11	96.23	98.11	94.34	98.11	96.23	98.11	100.00	98.11	100.00	96.23	96.23	98.11	88.68	96.23	92.45	96.23	98.11	98.11	96.23	98.11	98.11	96.23	98.11	96.23	83.02	98.11	98.11	98.11	98.11	94.34	98.11	90.57	94.34	96.23	94.34	96.23	98.11	98.11	96.23	90.57	96.23	98.11
p__Thermoproteota	182	97.94	82	75	98.90	100.00	100.00	90.66	99.45	98.90	99.45	99.45	99.45	98.35	98.35	96.70	91.76	99.45	96.15	99.45	100.00	97.80	97.80	96.70	100.00	98.90	97.25	98.90	98.90	97.80	87.36	97.80	93.96	97.80	96.70	99.45	96.70	99.45	97.25	99.45	100.00	99.45	98.35	98.90	100.00	100.00	93.41	97.80	98.90	98.35	98.90	98.35	100.00	98.90	92.86	99.45	97.80	96.15	97.25	98.90	100.00	98.90	99.45	99.45	99.45	100.00	100.00	100.00	96.70	98.90	98.90	96.15	100.00	98.35	89.56	95.05	99.45	98.90	96.70	97.25	100.00	97.80	99.45	95.60	98.90	96.15
