Phylum	No. genomes	Avg. single copy	No. genes >50% single copy	No. genes >=95.0% single copy	PF00380.20	PF00410.20	PF00466.21	TIGR00006	TIGR00019	TIGR00020	TIGR00029	TIGR00043	TIGR00054	TIGR00059	TIGR00061	TIGR00064	TIGR00082	TIGR00084	TIGR00086	TIGR00088	TIGR00092	TIGR00116	TIGR00158	TIGR00166	TIGR00168	TIGR00194	TIGR00250	TIGR00337	TIGR00344	TIGR00362	TIGR00392	TIGR00396	TIGR00398	TIGR00414	TIGR00420	TIGR00431	TIGR00435	TIGR00442	TIGR00460	TIGR00468	TIGR00472	TIGR00487	TIGR00496	TIGR00593	TIGR00615	TIGR00631	TIGR00635	TIGR00755	TIGR00810	TIGR00922	TIGR00959	TIGR00963	TIGR00964	TIGR00967	TIGR01009	TIGR01011	TIGR01017	TIGR01021	TIGR01029	TIGR01032	TIGR01044	TIGR01059	TIGR01063	TIGR01066	TIGR01071	TIGR01079	TIGR01087	TIGR01164	TIGR01169	TIGR01171	TIGR01393	TIGR01632	TIGR01951	TIGR01953	TIGR02012	TIGR02013	TIGR02027	TIGR02075	TIGR02191	TIGR02386	TIGR02397	TIGR02729	TIGR03263	TIGR03594	TIGR03625	TIGR03632	TIGR03654	TIGR03723	TIGR03953
p__Moduliflexota	2	94.12	77	77	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	50.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Myxococcota	134	94.30	83	74	98.51	98.51	94.78	98.51	99.25	99.25	97.01	96.27	33.58	97.76	98.51	98.51	83.58	99.25	96.27	97.01	91.04	98.51	100.00	100.00	76.87	100.00	95.52	97.01	97.01	95.52	72.39	85.82	97.01	99.25	98.51	59.70	95.52	100.00	97.76	99.25	97.01	96.27	100.00	86.57	98.51	98.51	99.25	98.51	98.51	96.27	97.76	97.76	95.52	99.25	97.76	98.51	72.39	98.51	98.51	99.25	98.51	96.27	98.51	100.00	98.51	97.01	95.52	98.51	96.27	98.51	97.01	96.27	99.25	99.25	10.45	95.52	99.25	98.51	97.01	95.52	97.01	97.76	97.76	100.00	98.51	99.25	96.27	97.76	97.76
p__Nitrospinota	8	96.03	84	66	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	12.50	100.00	87.50	87.50	100.00	87.50	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	87.50	100.00	100.00	100.00	87.50	100.00	75.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	75.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	87.50	87.50	87.50	87.50	100.00	100.00	100.00	87.50	100.00
p__Nitrospinota_A	1	96.47	82	82	100.00	100.00	100.00	100.00	100.00	100.00	0.00	0.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Nitrospirota	82	95.94	83	69	97.56	98.78	95.12	97.56	96.34	100.00	98.78	97.56	96.34	98.78	98.78	100.00	98.78	96.34	96.34	100.00	95.12	100.00	100.00	98.78	90.24	97.56	43.90	97.56	96.34	98.78	93.90	97.56	92.68	92.68	93.90	100.00	86.59	100.00	95.12	97.56	42.68	100.00	100.00	97.56	97.56	98.78	98.78	96.34	93.90	93.90	98.78	95.12	90.24	98.78	98.78	100.00	98.78	98.78	97.56	98.78	98.78	98.78	97.56	96.34	100.00	98.78	98.78	98.78	96.34	98.78	98.78	93.90	97.56	100.00	93.90	91.46	100.00	100.00	92.68	93.90	97.56	97.56	100.00	97.56	96.34	100.00	96.34	96.34	97.56
p__Nitrospirota_A	4	93.24	78	75	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	25.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	75.00	100.00	100.00	100.00	75.00	75.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	25.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00
p__OLB16	1	100.00	85	85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Omnitrophota	20	93.29	80	74	100.00	100.00	100.00	70.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	95.00	100.00	65.00	100.00	100.00	100.00	95.00	100.00	50.00	100.00	95.00	95.00	100.00	100.00	95.00	100.00	100.00	90.00	100.00	100.00	100.00	95.00	95.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	95.00	90.00	100.00	100.00	100.00	100.00	100.00	95.00	95.00	100.00	95.00	85.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	95.00	35.00	100.00	100.00	100.00	90.00	15.00	100.00	100.00	100.00	100.00	100.00
p__Patescibacteria	846	86.31	79	47	98.46	98.82	95.86	98.11	82.15	71.04	88.77	77.54	96.81	95.86	97.04	0.12	28.49	88.65	97.28	96.69	96.45	95.98	65.60	95.39	95.86	77.42	74.70	83.81	93.85	95.63	94.33	95.98	95.98	96.93	87.12	51.89	92.91	90.90	80.50	85.46	84.04	95.63	99.17	69.27	96.10	92.43	87.83	79.31	96.22	96.69	0.00	93.97	92.67	98.70	99.53	97.99	98.11	99.05	97.87	98.82	94.56	95.27	94.44	99.41	95.04	99.53	74.35	99.53	56.03	98.58	89.01	96.10	95.74	97.87	97.99	94.80	99.41	22.81	96.81	95.39	96.69	66.19	22.81	36.64	98.46	98.46	98.94	94.44	98.82
p__Planctomycetota	251	93.87	82	71	98.80	99.60	98.80	73.31	98.80	96.02	98.41	96.41	96.02	98.41	99.60	99.60	98.80	20.32	100.00	98.80	88.84	99.20	100.00	99.20	98.01	96.81	94.82	98.80	98.41	24.70	94.42	98.80	96.81	99.20	96.81	80.08	97.61	97.21	98.01	99.60	97.21	98.80	99.60	98.41	92.83	98.01	92.03	99.60	97.21	94.42	98.41	98.01	97.61	99.60	98.80	98.41	96.02	100.00	98.80	99.20	99.20	89.24	98.41	99.20	99.60	98.80	52.19	98.80	99.60	99.20	76.49	98.80	98.41	99.20	98.41	98.01	7.17	99.20	98.80	98.01	98.01	99.20	98.80	100.00	99.60	98.01	98.80	98.41	99.20
p__Proteobacteria	9752	98.58	85	84	99.43	98.84	97.91	99.43	99.50	99.38	98.24	99.21	96.21	98.94	98.91	99.12	99.20	97.73	99.20	99.26	99.21	99.62	99.54	99.56	99.00	97.66	99.38	98.66	99.60	98.14	98.66	98.44	98.10	99.19	99.24	98.63	96.41	99.12	97.98	99.38	99.42	99.63	99.70	98.66	97.32	96.79	97.44	99.34	93.44	97.96	98.80	99.14	96.08	98.97	98.68	99.47	98.32	98.93	97.93	99.50	98.51	98.58	99.02	99.44	98.71	98.79	98.64	98.40	98.14	98.52	98.96	97.92	98.48	99.63	96.85	97.76	98.56	98.60	99.18	97.46	99.06	99.44	98.52	99.07	98.37	96.37	98.75	99.26	98.50
p__QNDG01	2	97.65	81	81	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00
p__RBG-13-61-14	1	98.82	84	84	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Riflebacteria	5	96.47	83	79	100.00	100.00	100.00	100.00	100.00	100.00	80.00	100.00	60.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	80.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	80.00	100.00	100.00	100.00	100.00	100.00	100.00
p__SAR324	1	97.65	83	83	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__SZUA-182	1	95.29	81	81	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__SZUA-79	3	99.22	85	83	100.00	100.00	100.00	100.00	100.00	100.00	100.00	66.67	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	66.67	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Schekmanbacteria	2	93.53	77	77	100.00	100.00	100.00	100.00	50.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	0.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__SpSt-956	1	91.76	78	78	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Spirochaetota	220	94.63	81	75	99.55	99.09	99.55	97.27	99.55	100.00	96.36	100.00	98.64	99.55	99.09	63.18	100.00	100.00	98.64	98.18	97.73	100.00	99.55	99.55	100.00	99.09	9.55	90.91	99.55	98.18	99.55	99.55	98.64	100.00	97.27	99.09	95.00	99.55	99.09	98.64	49.09	100.00	100.00	99.09	91.82	99.55	99.55	95.91	99.09	99.09	62.73	98.18	80.00	99.09	99.55	99.55	95.45	99.09	99.55	100.00	98.64	97.27	97.73	100.00	98.64	99.55	97.73	99.09	99.55	99.55	99.09	99.55	97.27	99.55	99.09	98.18	99.55	44.09	99.55	99.09	98.18	99.55	41.36	99.55	99.55	99.55	99.55	89.09	99.09
p__Sumerlaeota	3	97.65	84	81	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	66.67	100.00	100.00	66.67	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	66.67	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Synergistota	29	98.95	85	81	100.00	100.00	100.00	100.00	100.00	100.00	96.55	100.00	100.00	100.00	100.00	96.55	100.00	100.00	100.00	100.00	93.10	100.00	100.00	100.00	100.00	100.00	100.00	89.66	100.00	100.00	100.00	96.55	100.00	100.00	96.55	100.00	100.00	96.55	96.55	96.55	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	96.55	100.00	96.55	100.00	100.00	96.55	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	82.76	96.55	100.00	93.10	100.00	100.00	96.55	100.00	96.55	100.00	96.55
p__TA06	1	95.29	81	81	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Thermodesulfobiota	2	98.82	84	84	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Thermosulfidibacterota	1	100.00	85	85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Thermotogota	49	97.86	84	81	100.00	100.00	100.00	100.00	97.96	100.00	100.00	100.00	97.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	93.88	100.00	100.00	100.00	100.00	100.00	63.27	100.00	97.96	100.00	97.96	97.96	100.00	97.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	97.96	100.00	97.96	0.00	100.00	100.00	95.92	100.00	85.71	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	97.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	97.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__UBA10199	8	96.76	83	70	100.00	100.00	100.00	100.00	100.00	87.50	87.50	100.00	100.00	100.00	100.00	50.00	87.50	100.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	75.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	87.50	50.00	87.50	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00
p__UBA6262	1	89.41	76	76	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	0.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__UBA9089	1	90.59	77	77	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__UBP13	1	100.00	85	85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__UBP14	1	97.65	83	83	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__UBP4	1	96.47	82	82	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__UBP6	1	100.00	85	85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Verrucomicrobiota	294	95.64	84	72	96.60	96.60	95.24	61.56	97.96	98.30	97.96	96.94	98.64	97.62	99.66	96.26	98.30	97.96	98.64	98.98	96.26	98.98	98.64	99.32	94.56	96.26	91.50	97.28	98.64	96.60	97.28	97.28	97.96	99.32	98.30	99.32	96.60	98.98	96.94	98.64	98.98	99.32	99.32	32.65	98.64	97.28	97.62	98.64	98.30	95.58	94.56	91.84	87.07	97.28	95.58	98.64	96.94	95.24	95.58	98.30	94.90	93.88	95.58	97.28	95.58	94.22	78.91	95.24	96.26	97.28	96.26	96.94	99.32	98.98	97.62	94.90	97.28	98.98	95.24	92.18	97.28	98.98	97.62	99.66	96.60	98.30	96.60	97.96	96.26
p__WOR-3	17	94.05	82	51	100.00	100.00	100.00	94.12	100.00	100.00	76.47	88.24	100.00	100.00	100.00	70.59	94.12	94.12	100.00	100.00	47.06	100.00	100.00	100.00	100.00	100.00	94.12	100.00	100.00	82.35	100.00	94.12	100.00	100.00	100.00	100.00	100.00	94.12	70.59	100.00	94.12	100.00	94.12	100.00	94.12	94.12	100.00	88.24	94.12	76.47	70.59	94.12	88.24	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	94.12	100.00	100.00	100.00	100.00	88.24	100.00	100.00	100.00	47.06	100.00	100.00	100.00	94.12	94.12	94.12	100.00	23.53	94.12	94.12	100.00	100.00	94.12	94.12	100.00	94.12	100.00	100.00
p__Wallbacteria	2	94.12	77	77	100.00	100.00	100.00	100.00	50.00	100.00	100.00	50.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	50.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Zixibacteria	8	97.50	85	70	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	87.50	100.00	100.00	100.00	100.00	62.50	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	87.50	87.50	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
